Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Master,RSC000839,P0Larbear,"Panthers
King Kongs
Chaos
Care Bears","The Jungle
Planet of the Apes
North American Soccar Club
The Bear Den",Lunar,-3.6,64.0,4.0,0.462,0.5,2.0,2.0,1070.0,520.0,550.0,1.0,2.0,5.0,7.0,14.30%,267.6,130.0,137.6,0.25,0.5,1.25,1.75,267.5,130.0,137.5,0.25,0.5,1.25,1.75,10.0,11.0,2.5,2.75,2.5,2.75
Master,RSC000011,Crazy Vulpix,"Tempests
Soul","Storm
The Elements",Lunar,-9.1,28.0,2.0,0.5,0.5,1.0,1.0,478.0,130.0,348.0,1.0,0.0,0.0,3.0,33.30%,273.2,74.3,198.9,0.57,0.0,0.0,1.71,239.0,65.0,174.0,0.5,0.0,0.0,1.5,3.0,3.0,1.71,1.71,1.5,1.5
Master,,Wavepace,"Blackout
Sabertooths
The Watchmen
Wendigos","Electric Mayhem
Polar Vortex
The Comic Crusaders
The Forest",Lunar,-9.3,70.0,4.0,0.71,0.75,3.0,1.0,1249.0,660.0,589.0,2.0,1.0,7.0,6.0,33.30%,285.6,150.9,134.7,0.46,0.23,1.6,1.37,312.3,165.0,147.3,0.5,0.25,1.75,1.5,11.0,6.0,2.52,1.37,2.75,1.5
Master,RSC003351,Rex,"The Watchmen
Chaos
Sabertooths","The Comic Crusaders
North American Soccar Club
Polar Vortex",Lunar,-23.4,54.0,3.0,0.547,0.333,1.0,2.0,688.0,380.0,308.0,2.0,1.0,1.0,8.0,25.00%,203.9,112.6,91.3,0.59,0.3,0.3,2.37,229.3,126.7,102.7,0.67,0.33,0.33,2.67,9.0,8.0,2.67,2.37,3.0,2.67
Major,RSC002688,Hoodie,King Ghidorah,Kaiju,Solar,249.7,10.0,1.0,0.862,1.0,1.0,0.0,545.0,360.0,185.0,1.0,2.0,3.0,1.0,100.00%,815.1,538.4,276.7,1.5,2.99,4.49,1.5,545.0,360.0,185.0,1.0,2.0,3.0,1.0,3.0,1.0,4.49,1.5,3.0,1.0
Major,RSC003965,Jixaw,Anger,Inferno,Solar,174.7,17.0,1.0,0.65,1.0,1.0,0.0,839.0,550.0,289.0,2.0,0.0,6.0,5.0,40.00%,738.1,483.9,254.2,1.76,0.0,5.28,4.4,839.0,550.0,289.0,2.0,0.0,6.0,5.0,3.0,2.0,2.64,1.76,3.0,2.0
Major,RSC002423,Cubby,Linguini Lancers,Italian Battalion,Solar,144.7,11.0,1.0,0.669,1.0,1.0,0.0,369.0,210.0,159.0,0.0,2.0,2.0,1.0,0.00%,501.7,285.5,216.2,0.0,2.72,2.72,1.36,369.0,210.0,159.0,0.0,2.0,2.0,1.0,3.0,2.0,4.08,2.72,3.0,2.0
Major,RSC003995,Vekz Showz,Contras,8-Bit Brigade,Lunar,143.9,13.0,1.0,0.661,1.0,1.0,0.0,526.0,320.0,206.0,1.0,1.0,3.0,2.0,50.00%,605.1,368.1,237.0,1.15,1.15,3.45,2.3,526.0,320.0,206.0,1.0,1.0,3.0,2.0,3.0,2.0,3.45,2.3,3.0,2.0
Major,RSC000707,𝔂Ou 𝓪Re 𝓪 𝓼Tar 𝓲N 𝓶Y 𝓼Ky,"Contras
Piranhas","8-Bit Brigade
The Jungle",Solar,130.1,35.0,2.0,0.272,0.5,1.0,1.0,1140.0,710.0,430.0,3.0,2.0,4.0,11.0,27.30%,487.1,303.4,183.7,1.28,0.85,1.71,4.7,570.0,355.0,215.0,1.5,1.0,2.0,5.5,5.0,9.0,2.14,3.85,2.5,4.5
Major,RSC003785,Sagents,Equinox,The Cosmos,Solar,124.5,12.0,1.0,0.665,1.0,1.0,0.0,372.0,280.0,92.0,2.0,1.0,0.0,3.0,66.70%,463.6,349.0,114.7,2.49,1.25,0.0,3.74,372.0,280.0,92.0,2.0,1.0,0.0,3.0,3.0,2.0,3.74,2.49,3.0,2.0
